file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,76,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,22
static\style.css,77,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,78,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,6
static\style.css,79,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,18
static\style.css,80,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,3
static\style.css,81,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,12
static\style.css,82,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,83,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,3
static\style.css,84,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,28
static\style.css,85,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,86,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,87,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,3
static\style.css,88,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,28
static\style.css,89,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,0
static\style.css,90,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,22
static\style.css,91,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,29
static\style.css,92,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,31
static\style.css,93,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,94,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,95,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,7
static\style.css,96,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,29
